,asset,usd,epoch,amount,amt_usd
0,SOL,87.95,Epoch 1 - 2021-12-17,2136.826015359,187933.84805082405
1,SOL,87.95,Epoch 2 - 2021-12-24,9483.165589812,834044.4136239655
2,SOL,87.95,Epoch 3 - 2021-12-31,6741.104137798,592880.1089193341
3,SOL,87.95,Epoch 4 - 2022-01-07,23061.900171486,2028294.1200821938
4,SOL,87.95,Epoch 5 - 2022-01-14,35383.22813555,3111954.914521623
5,SOL,87.95,Epoch 6 - 2022-01-21,57099.401548311,5021892.366173953
6,SOL,87.95,Epoch 7 - 2022-01-28,82182.216085554,7227925.904724474
7,SOL,87.95,Epoch 8 - 2022-02-04,93017.358004139,8180876.636464025
8,SOL,87.95,Epoch 9 - 2022-02-11,26823.245197004,2359104.4150765017
9,SOL,87.95,Epoch 10 - 2022-02-18,25483.420127129,2241266.800180996
10,SOL,87.95,Epoch 11 - 2022-02-25,9460.61170288,832060.799268296
11,SOL,87.95,Epoch 12 - 2022-03-04,10105.156929833,888748.5519788123
12,SOL,87.95,Epoch 13 - 2022-03-11,17053.617884373,1499865.6929306055
13,FTT,42.83,Epoch 2 - 2021-12-24,714.099293,30584.87271919
14,FTT,42.83,Epoch 3 - 2021-12-31,328.58448599999997,14073.273535379998
15,FTT,42.83,Epoch 4 - 2022-01-07,27675.856289,1185356.92485787
16,FTT,42.83,Epoch 5 - 2022-01-14,25227.615577999997,1080498.7752057398
17,FTT,42.83,Epoch 6 - 2022-01-21,16482.449248,705943.30129184
18,FTT,42.83,Epoch 7 - 2022-01-28,9420.235422,403468.68312426
19,FTT,42.83,Epoch 8 - 2022-02-04,10734.032870000001,459738.6278221
20,FTT,42.83,Epoch 9 - 2022-02-11,9119.584883,390591.82053888997
21,FTT,42.83,Epoch 10 - 2022-02-18,4459.262916,190990.23069228
22,FTT,42.83,Epoch 11 - 2022-02-25,3030.058016,129777.38482528
23,FTT,42.83,Epoch 12 - 2022-03-04,41923.966192,1795603.4720033598
24,FTT,42.83,Epoch 13 - 2022-03-11,12313.861713,527402.69716779
25,ETH,2762.12,Epoch 2 - 2021-12-24,2.043538,5644.497180559999
26,ETH,2762.12,Epoch 4 - 2022-01-07,67.25191299999999,185757.85393555995
27,ETH,2762.12,Epoch 5 - 2022-01-14,154.671616,427221.56398592
28,ETH,2762.12,Epoch 6 - 2022-01-21,201.824095,557462.3692814
29,ETH,2762.12,Epoch 7 - 2022-01-28,544.984276,1505311.96842512
30,ETH,2762.12,Epoch 8 - 2022-02-04,801.998389,2215215.7902246797
31,ETH,2762.12,Epoch 9 - 2022-02-11,183.514984,506890.40760608
32,ETH,2762.12,Epoch 10 - 2022-02-18,217.742221,601430.14346852
33,ETH,2762.12,Epoch 11 - 2022-02-25,200.961475,555079.709327
34,ETH,2762.12,Epoch 12 - 2022-03-04,240.251238,663602.74950456
35,ETH,2762.12,Epoch 13 - 2022-03-11,122.998039,339735.34348268
36,BTC,41028.0,Epoch 1 - 2021-12-17,0.99,40617.72
37,BTC,41028.0,Epoch 3 - 2021-12-31,123.374906,5061825.643368
38,BTC,41028.0,Epoch 4 - 2022-01-07,152.551617,6258887.742276
39,BTC,41028.0,Epoch 5 - 2022-01-14,48.294765999999996,1981437.659448
40,BTC,41028.0,Epoch 6 - 2022-01-21,49.711042,2039544.631176
41,BTC,41028.0,Epoch 7 - 2022-01-28,93.612319,3840726.223932
42,BTC,41028.0,Epoch 8 - 2022-02-04,214.34483500000002,8794139.89038
43,BTC,41028.0,Epoch 9 - 2022-02-11,71.624521,2938610.847588
44,BTC,41028.0,Epoch 10 - 2022-02-18,18.293018,750525.942504
45,BTC,41028.0,Epoch 11 - 2022-02-25,81.13623899999999,3328857.6136919996
46,BTC,41028.0,Epoch 12 - 2022-03-04,51.89080500000001,2128975.94754
47,BTC,41028.0,Epoch 13 - 2022-03-11,5.428153,222706.261284
48,LUNA,88.67,Epoch 2 - 2021-12-24,11.245482999999998,997.1369776099999
49,LUNA,88.67,Epoch 3 - 2021-12-31,99.90999,8859.0188133
50,LUNA,88.67,Epoch 4 - 2022-01-07,10638.551865,943320.39386955
51,LUNA,88.67,Epoch 5 - 2022-01-14,30192.660462,2677183.20316554
52,LUNA,88.67,Epoch 6 - 2022-01-21,34176.866071000004,3030462.7145155706
53,LUNA,88.67,Epoch 7 - 2022-01-28,39148.96367,3471338.6086188997
54,LUNA,88.67,Epoch 8 - 2022-02-04,13705.552964,1215271.38131788
55,LUNA,88.67,Epoch 9 - 2022-02-11,10632.152372,942752.9508252401
56,LUNA,88.67,Epoch 10 - 2022-02-18,13134.227018,1164611.90968606
57,LUNA,88.67,Epoch 11 - 2022-02-25,30784.06194,2729622.7722198
58,LUNA,88.67,Epoch 12 - 2022-03-04,46874.205687,4156335.8182662902
59,LUNA,88.67,Epoch 13 - 2022-03-11,19472.183893,1726598.54579231
60,SRM,1.88,Epoch 2 - 2021-12-24,15418.443786,28986.674317679997
61,SRM,1.88,Epoch 3 - 2021-12-31,122.108169,229.56335772
62,SRM,1.88,Epoch 4 - 2022-01-07,52354.730974,98426.89423112
63,SRM,1.88,Epoch 5 - 2022-01-14,50943.319698,95773.44103223999
64,SRM,1.88,Epoch 6 - 2022-01-21,188420.66159000003,354230.84378920007
65,SRM,1.88,Epoch 7 - 2022-01-28,73758.87772599999,138666.69012487997
66,SRM,1.88,Epoch 8 - 2022-02-04,118796.996289,223338.35302332
67,SRM,1.88,Epoch 9 - 2022-02-11,56092.469488,105453.84263744
68,SRM,1.88,Epoch 10 - 2022-02-18,8754.3059,16458.095092
69,SRM,1.88,Epoch 11 - 2022-02-25,5078.586377,9547.742388759998
70,SRM,1.88,Epoch 12 - 2022-03-04,13185.337226,24788.433984879997
71,SRM,1.88,Epoch 13 - 2022-03-11,23614.871951,44395.959267879996
72,scnSOL,90.59,Epoch 2 - 2021-12-24,334.884101982,30337.15079854938
73,scnSOL,90.59,Epoch 4 - 2022-01-07,280.447700179,25405.75715921561
74,scnSOL,90.59,Epoch 5 - 2022-01-14,1392.186738321,126118.19662449938
75,scnSOL,90.59,Epoch 6 - 2022-01-21,1258.373224398,113996.03039821483
76,scnSOL,90.59,Epoch 7 - 2022-01-28,3379.630717562,306160.7467039416
77,scnSOL,90.59,Epoch 8 - 2022-02-04,868.1668828659999,78647.23791883094
78,scnSOL,90.59,Epoch 9 - 2022-02-11,2426.640093305,219829.32605249996
79,scnSOL,90.59,Epoch 10 - 2022-02-18,1382.430927455,125234.41771814846
80,scnSOL,90.59,Epoch 11 - 2022-02-25,627.989500449,56889.56884567492
81,scnSOL,90.59,Epoch 12 - 2022-03-04,300.36943982,27210.4675532938
82,scnSOL,90.59,Epoch 13 - 2022-03-11,107.663688996,9753.25358614764
83,RAY,2.52,Epoch 3 - 2021-12-31,0.0999,0.251748
84,RAY,2.52,Epoch 4 - 2022-01-07,15.511401,39.08873052
85,RAY,2.52,Epoch 5 - 2022-01-14,3580.301885,9022.3607502
86,RAY,2.52,Epoch 6 - 2022-01-21,2273.786218,5729.941269360001
87,RAY,2.52,Epoch 7 - 2022-01-28,2846.241805,7172.5293486
88,RAY,2.52,Epoch 8 - 2022-02-04,985.771826,2484.1450015200003
89,RAY,2.52,Epoch 9 - 2022-02-11,5690.33126,14339.6347752
90,RAY,2.52,Epoch 10 - 2022-02-18,715.055514,1801.93989528
91,RAY,2.52,Epoch 11 - 2022-02-25,510.699946,1286.96386392
92,RAY,2.52,Epoch 12 - 2022-03-04,2210.488839,5570.431874280001
93,RAY,2.52,Epoch 13 - 2022-03-11,1151.145351,2900.8862845199997
94,mSOL,91.06,Epoch 1 - 2021-12-17,54.786935242,4988.89832313652
95,mSOL,91.06,Epoch 3 - 2021-12-31,6376.9105754619995,580681.4770015697
96,mSOL,91.06,Epoch 4 - 2022-01-07,29344.490214128,2672109.2788984957
97,mSOL,91.06,Epoch 5 - 2022-01-14,16660.877642421,1517139.5181188565
98,mSOL,91.06,Epoch 6 - 2022-01-21,50829.015384091996,4628490.140875417
99,mSOL,91.06,Epoch 7 - 2022-01-28,64378.891966258,5862341.902447454
100,mSOL,91.06,Epoch 8 - 2022-02-04,30973.787152074,2820473.0580678587
101,mSOL,91.06,Epoch 9 - 2022-02-11,8098.342675368,737435.0840190101
102,mSOL,91.06,Epoch 10 - 2022-02-18,3199.176758517,291317.03563055804
103,mSOL,91.06,Epoch 11 - 2022-02-25,6366.074919073,579694.7821307874
104,mSOL,91.06,Epoch 12 - 2022-03-04,5557.413509079,506058.0741367337
105,mSOL,91.06,Epoch 13 - 2022-03-11,4677.522014409,425935.15463208355
106,MNGO,0.150336,Epoch 2 - 2021-12-24,121359.842571,18244.753292753856
107,MNGO,0.150336,Epoch 4 - 2022-01-07,277823.334638,41766.848836138364
108,MNGO,0.150336,Epoch 5 - 2022-01-14,1783465.008866,268118.995572879
109,MNGO,0.150336,Epoch 6 - 2022-01-21,1609536.4359950002,241971.26964174435
110,MNGO,0.150336,Epoch 7 - 2022-01-28,2068003.717741,310895.40691031097
111,MNGO,0.150336,Epoch 8 - 2022-02-04,2126199.0803799997,319644.26494800765
112,MNGO,0.150336,Epoch 9 - 2022-02-11,331159.24978199997,49785.156975226746
113,MNGO,0.150336,Epoch 10 - 2022-02-18,201852.78262500002,30345.739928712002
114,MNGO,0.150336,Epoch 11 - 2022-02-25,710962.279374,106883.22523196967
115,MNGO,0.150336,Epoch 12 - 2022-03-04,393294.587813,59126.33515345517
116,MNGO,0.150336,Epoch 13 - 2022-03-11,7459.493067,1121.4303497205121
117,SBR,0.03151694,Epoch 2 - 2021-12-24,411418.998496,12966.667890458522
118,SBR,0.03151694,Epoch 5 - 2022-01-14,5404769.891023,170341.8083691784
119,SBR,0.03151694,Epoch 6 - 2022-01-21,10511515.836722,331290.81393501704
120,SBR,0.03151694,Epoch 7 - 2022-01-28,3544514.290001,111712.24420710412
121,SBR,0.03151694,Epoch 8 - 2022-02-04,1579072.593519,49767.536185582714
122,SBR,0.03151694,Epoch 9 - 2022-02-11,2209938.25001,69650.49122927018
123,SBR,0.03151694,Epoch 10 - 2022-02-18,1994866.443162,62872.08599715016
124,SBR,0.03151694,Epoch 11 - 2022-02-25,836627.723993,26367.945779423942
125,SBR,0.03151694,Epoch 12 - 2022-03-04,2391854.600323,75383.93792710397
126,SBR,0.03151694,Epoch 13 - 2022-03-11,35141.128354,1107.5408338653167
